species,plot,richness,treatment,plantnumber,damage,type,stage,combo
Panvi,111,8,C,5,1.5,ins,E,CinsE
Panvi,111,8,C,6,10.75,ins,E,CinsE
Panvi,112,9,IF,1,0.2,ins,E,IFinsE
Panvi,112,9,IF,2,27.5,ins,E,IFinsE
Panvi,112,9,IF,3,0.333333333,ins,E,IFinsE
Panvi,112,9,IF,4,1.4,ins,E,IFinsE
Panvi,112,9,IF,5,0.2,ins,E,IFinsE
Panvi,112,9,IF,6,0,ins,E,IFinsE
Boucu,113,5,C,1,28.2,ins,E,CinsE
Boucu,113,5,C,3,0.8,ins,E,CinsE
Boucu,113,5,C,5,0.8,ins,E,CinsE
Agafo,114,5,I,2,0.6,ins,E,IinsE
Agafo,114,5,I,3,0.8,ins,E,IinsE
Agafo,114,5,I,4,1,ins,E,IinsE
Agafo,115,7,IF,4,0.4,ins,E,IFinsE
Agafo,115,7,IF,6,2,ins,E,IFinsE
Rudhi,116,7,I,1,7.6,ins,E,IinsE
Rudhi,116,7,I,2,0.666666667,ins,E,IinsE
Rudhi,116,7,I,3,1.6,ins,E,IinsE
Rudhi,116,7,I,4,7.5,ins,E,IinsE
Rudhi,116,7,I,5,1,ins,E,IinsE
Bougr,117,9,IF,1,0,ins,E,IFinsE
Bougr,117,9,IF,2,0,ins,E,IFinsE
Bougr,117,9,IF,3,0,ins,E,IFinsE
Bougr,117,9,IF,4,0.4,ins,E,IFinsE
Bougr,117,9,IF,6,0,ins,E,IFinsE
Sornu,118,5,I,1,0,ins,E,IinsE
Sornu,118,5,I,2,0,ins,E,IinsE
Sornu,118,5,I,3,20,ins,E,IinsE
Sornu,118,5,I,4,0,ins,E,IinsE
Spohe,119,11,I,2,0,ins,E,IinsE
Achmi,120,14,I,1,10.6,ins,E,IinsE
Achmi,120,14,I,3,13,ins,E,IinsE
Achmi,120,14,I,4,11.8,ins,E,IinsE
Achmi,120,14,I,5,46.5,ins,E,IinsE
Muhra,122,7,I,1,0,ins,E,IinsE
Muhra,122,7,I,2,0,ins,E,IinsE
Muhra,122,7,I,3,0.2,ins,E,IinsE
Muhra,122,7,I,4,0,ins,E,IinsE
Muhra,122,7,I,5,0,ins,E,IinsE
Muhra,122,7,I,6,0.2,ins,E,IinsE
Schsc,123,5,C,1,8.6,ins,E,CinsE
Schsc,123,5,C,2,6.4,ins,E,CinsE
Schsc,123,5,C,3,7.2,ins,E,CinsE
Schsc,123,5,C,4,3,ins,E,CinsE
Schsc,123,5,C,5,3.4,ins,E,CinsE
Schsc,123,5,C,6,0,ins,E,CinsE
Rudhi,124,5,C,1,19.25,ins,E,CinsE
Rudhi,124,5,C,3,27.66666667,ins,E,CinsE
Rudhi,124,5,C,6,3.75,ins,E,CinsE
Astaz,125,6,C,3,18.6,ins,E,CinsE
Astaz,125,6,C,4,19,ins,E,CinsE
Schsc,127,7,I,1,0.5,ins,E,IinsE
Schsc,127,7,I,2,0,ins,E,IinsE
Schsc,127,7,I,3,0,ins,E,IinsE
Schsc,127,7,I,4,0.6,ins,E,IinsE
Schsc,127,7,I,5,0.4,ins,E,IinsE
Schsc,127,7,I,6,0.2,ins,E,IinsE
Agafo,128,9,IF,1,8.75,ins,E,IFinsE
Agafo,128,9,IF,3,8.8,ins,E,IFinsE
Agafo,128,9,IF,4,15.33333333,ins,E,IFinsE
Agafo,128,9,IF,6,13.75,ins,E,IFinsE
Boucu,129,5,IF,4,1.5,ins,E,IFinsE
Boucu,129,5,IF,5,0.2,ins,E,IFinsE
Andge,130,6,IF,1,0.2,ins,E,IFinsE
Andge,130,6,IF,2,0,ins,E,IFinsE
Andge,130,6,IF,3,1,ins,E,IFinsE
Andge,130,6,IF,4,0,ins,E,IFinsE
Andge,130,6,IF,5,0.5,ins,E,IFinsE
Andge,130,6,IF,6,0,ins,E,IFinsE
Sornu,132,6,IF,1,0,ins,E,IFinsE
Sornu,132,6,IF,2,1,ins,E,IFinsE
Sornu,132,6,IF,3,0,ins,E,IFinsE
Sornu,132,6,IF,4,2,ins,E,IFinsE
Ascsy,133,7,IF,2,0.2,ins,E,IFinsE
Boucu,135,6,C,2,4,ins,E,CinsE
Boucu,135,6,C,3,11.25,ins,E,CinsE
Boucu,135,6,C,4,1,ins,E,CinsE
Boucu,135,6,C,5,7.6,ins,E,CinsE
Achmi,136,8,I,1,1.6,ins,E,IinsE
Achmi,136,8,I,2,1.25,ins,E,IinsE
Achmi,136,8,I,3,6.2,ins,E,IinsE
Achmi,136,8,I,5,8,ins,E,IinsE
Achmi,136,8,I,6,2,ins,E,IinsE
Agafo,137,9,C,1,14,ins,E,CinsE
Agafo,137,9,C,3,7.8,ins,E,CinsE
Agafo,137,9,C,4,7.2,ins,E,CinsE
Boucu,139,6,I,1,0,ins,E,IinsE
Boucu,139,6,I,2,0,ins,E,IinsE
Boucu,139,6,I,3,0.6,ins,E,IinsE
Boucu,139,6,I,4,0.2,ins,E,IinsE
Rudhi,140,6,IF,1,1.2,ins,E,IFinsE
Rudhi,140,6,IF,3,5,ins,E,IFinsE
Rudhi,140,6,IF,4,19.5,ins,E,IFinsE
Rudhi,140,6,IF,5,1,ins,E,IFinsE
Rudhi,140,6,IF,6,0.6,ins,E,IFinsE
Panvi,141,9,C,1,4.4,ins,E,CinsE
Panvi,141,9,C,2,2.2,ins,E,CinsE
Panvi,141,9,C,3,25,ins,E,CinsE
Panvi,141,9,C,4,2,ins,E,CinsE
Panvi,141,9,C,5,4,ins,E,CinsE
Panvi,141,9,C,6,1.666666667,ins,E,CinsE
Andge,143,6,C,1,4,ins,E,CinsE
Andge,143,6,C,4,0,ins,E,CinsE
Andge,143,6,C,6,0,ins,E,CinsE
Achmi,144,6,IF,2,0.5,ins,E,IFinsE
Achmi,144,6,IF,3,1,ins,E,IFinsE
Achmi,144,6,IF,4,0,ins,E,IFinsE
Achmi,144,6,IF,5,36,ins,E,IFinsE
Achmi,144,6,IF,6,0.5,ins,E,IFinsE
Panvi,1,11,I,1,20,fun,E,IfunE
Panvi,1,11,I,2,1,fun,E,IfunE
Panvi,1,11,I,3,1,fun,E,IfunE
Panvi,1,11,I,4,1.25,fun,E,IfunE
Panvi,1,11,I,5,10.33333333,fun,E,IfunE
Panvi,1,11,I,6,7.25,fun,E,IfunE
Liaas,2,13,IF,3,0,fun,E,IFfunE
Liaas,2,13,IF,4,0,fun,E,IFfunE
Andge,3,14,I,1,1,fun,E,IfunE
Andge,3,14,I,2,3,fun,E,IfunE
Andge,3,14,I,4,2.4,fun,E,IfunE
Andge,3,14,I,5,1,fun,E,IfunE
Andge,3,14,I,6,1.666666667,fun,E,IfunE
Bougr,4,13,I,1,0.8,fun,E,IfunE
Bougr,4,13,I,2,1.6,fun,E,IfunE
Bougr,4,13,I,4,1.6,fun,E,IfunE
Bougr,4,13,I,5,0.8,fun,E,IfunE
Bougr,4,13,I,6,4,fun,E,IfunE
Muhra,5,13,I,1,5.2,fun,E,IfunE
Muhra,5,13,I,2,6,fun,E,IfunE
Muhra,5,13,I,3,1.8,fun,E,IfunE
Muhra,5,13,I,4,3.8,fun,E,IfunE
Muhra,5,13,I,5,3,fun,E,IfunE
Muhra,5,13,I,6,4.6,fun,E,IfunE
Ascsy,6,9,IF,1,1.25,fun,E,IFfunE
Monfi,7,10,IF,1,1.8,fun,E,IFfunE
Monfi,7,10,IF,2,2,fun,E,IFfunE
Ascsy,8,9,I,1,2.4,fun,E,IfunE
Ascsy,8,9,I,2,0.75,fun,E,IfunE
Ascsy,8,9,I,3,0.8,fun,E,IfunE
Panvi,9,12,IF,1,4,fun,E,IFfunE
Panvi,9,12,IF,2,1,fun,E,IFfunE
Panvi,9,12,IF,3,0.5,fun,E,IFfunE
Panvi,9,12,IF,4,0.2,fun,E,IFfunE
Panvi,9,12,IF,5,4.2,fun,E,IFfunE
Panvi,9,12,IF,6,2.6,fun,E,IFfunE
Schsc,10,14,C,1,1.5,fun,E,CfunE
Schsc,10,14,C,2,3.4,fun,E,CfunE
Schsc,10,14,C,3,1.2,fun,E,CfunE
Schsc,10,14,C,4,6.5,fun,E,CfunE
Schsc,10,14,C,5,5,fun,E,CfunE
Schsc,10,14,C,6,6.4,fun,E,CfunE
Andge,11,14,IF,1,0.4,fun,E,IFfunE
Andge,11,14,IF,2,3.8,fun,E,IFfunE
Andge,11,14,IF,3,0.8,fun,E,IFfunE
Andge,11,14,IF,4,0,fun,E,IFfunE
Andge,11,14,IF,5,1.4,fun,E,IFfunE
Andge,11,14,IF,6,1.4,fun,E,IFfunE
Muhra,12,12,I,2,1.5,fun,E,IfunE
Muhra,12,12,I,3,2.333333333,fun,E,IfunE
Muhra,12,12,I,4,3.75,fun,E,IfunE
Andge,13,9,IF,1,0.4,fun,E,IFfunE
Andge,13,9,IF,2,0.6,fun,E,IFfunE
Andge,13,9,IF,3,1,fun,E,IFfunE
Andge,13,9,IF,4,3,fun,E,IFfunE
Andge,13,9,IF,5,1.4,fun,E,IFfunE
Andge,13,9,IF,6,2.2,fun,E,IFfunE
Asctu,14,12,C,1,0,fun,E,CfunE
Asctu,14,12,C,3,0.8,fun,E,CfunE
Asctu,14,12,C,6,0.6,fun,E,CfunE
Sornu,15,12,I,1,12.6,fun,E,IfunE
Sornu,15,12,I,2,8.4,fun,E,IfunE
Sornu,15,12,I,3,3.8,fun,E,IfunE
Sornu,15,12,I,4,7,fun,E,IfunE
Asctu,16,14,I,1,0.2,fun,E,IfunE
Asctu,16,14,I,2,0.8,fun,E,IfunE
Asctu,16,14,I,3,0.2,fun,E,IfunE
Asctu,16,14,I,4,1,fun,E,IfunE
Asctu,16,14,I,5,0.6,fun,E,IfunE
Asctu,16,14,I,6,0.6,fun,E,IfunE
Astaz,19,15,C,1,0,fun,E,CfunE
Astaz,19,15,C,2,0,fun,E,CfunE
Astaz,19,15,C,3,0,fun,E,CfunE
Astaz,19,15,C,4,0,fun,E,CfunE
Astaz,19,15,C,5,0,fun,E,CfunE
Astaz,19,15,C,6,0,fun,E,CfunE
Rudhi,20,12,I,1,0,fun,E,IfunE
Rudhi,20,12,I,2,0.2,fun,E,IfunE
Rudhi,20,12,I,3,1,fun,E,IfunE
Rudhi,20,12,I,4,0,fun,E,IfunE
Rudhi,20,12,I,6,0.4,fun,E,IfunE
Agafo,21,10,I,1,1,fun,E,IfunE
Agafo,21,10,I,2,1,fun,E,IfunE
Agafo,21,10,I,3,0.6,fun,E,IfunE
Agafo,21,10,I,4,0.4,fun,E,IfunE
Andge,22,8,I,1,4.4,fun,E,IfunE
Andge,22,8,I,2,5,fun,E,IfunE
Andge,22,8,I,3,3,fun,E,IfunE
Andge,22,8,I,4,2,fun,E,IfunE
Andge,22,8,I,5,5.4,fun,E,IfunE
Andge,22,8,I,6,3.4,fun,E,IfunE
Bougr,23,10,I,1,0.6,fun,E,IfunE
Bougr,23,10,I,2,1,fun,E,IfunE
Bougr,23,10,I,3,3.6,fun,E,IfunE
Bougr,23,10,I,4,2.8,fun,E,IfunE
Bougr,23,10,I,5,0.2,fun,E,IfunE
Bougr,23,10,I,6,0.6,fun,E,IfunE
Boucu,24,15,I,1,1.6,fun,E,IfunE
Boucu,24,15,I,2,1.2,fun,E,IfunE
Boucu,24,15,I,3,2.2,fun,E,IfunE
Boucu,24,15,I,4,3,fun,E,IfunE
Boucu,24,15,I,5,5.8,fun,E,IfunE
Liaas,25,14,C,4,0,fun,E,CfunE
Sornu,26,12,C,1,4.6,fun,E,CfunE
Sornu,26,12,C,2,6.333333333,fun,E,CfunE
Sornu,26,12,C,3,1.4,fun,E,CfunE
Sornu,26,12,C,4,4,fun,E,CfunE
Panvi,27,12,IF,1,2.6,fun,E,IFfunE
Panvi,27,12,IF,2,0,fun,E,IFfunE
Panvi,27,12,IF,3,1.8,fun,E,IFfunE
Panvi,27,12,IF,4,2.75,fun,E,IFfunE
Panvi,27,12,IF,5,1.8,fun,E,IFfunE
Panvi,27,12,IF,6,2,fun,E,IFfunE
Boucu,28,12,I,1,0.8,fun,E,IfunE
Boucu,28,12,I,2,3,fun,E,IfunE
Boucu,28,12,I,3,1.2,fun,E,IfunE
Boucu,28,12,I,4,1.2,fun,E,IfunE
Boucu,28,12,I,5,1.6,fun,E,IfunE
Asctu,29,9,C,1,0,fun,E,CfunE
Asctu,29,9,C,2,0,fun,E,CfunE
Asctu,29,9,C,3,0.2,fun,E,CfunE
Asctu,29,9,C,6,0.8,fun,E,CfunE
Monfi,30,7,IF,2,0,fun,E,IFfunE
Astaz,31,11,IF,1,0,fun,E,IFfunE
Astaz,31,11,IF,2,0.2,fun,E,IFfunE
Astaz,31,11,IF,3,0,fun,E,IFfunE
Astaz,31,11,IF,4,0.333333333,fun,E,IFfunE
Asctu,32,10,IF,1,0,fun,E,IFfunE
Asctu,32,10,IF,2,0,fun,E,IFfunE
Asctu,32,10,IF,3,0,fun,E,IFfunE
Asctu,32,10,IF,4,0,fun,E,IFfunE
Asctu,32,10,IF,5,0,fun,E,IFfunE
Asctu,32,10,IF,6,0,fun,E,IFfunE
Ascsy,33,12,C,3,0.333333333,fun,E,CfunE
Asctu,34,11,IF,2,0,fun,E,IFfunE
Asctu,34,11,IF,3,0.4,fun,E,IFfunE
Asctu,34,11,IF,4,0,fun,E,IFfunE
Asctu,34,11,IF,5,0.2,fun,E,IFfunE
Schsc,35,12,I,1,2.25,fun,E,IfunE
Schsc,35,12,I,2,0.6,fun,E,IfunE
Schsc,35,12,I,3,0.6,fun,E,IfunE
Schsc,35,12,I,4,1,fun,E,IfunE
Schsc,35,12,I,6,2.8,fun,E,IfunE
Schsc,36,15,IF,1,0.6,fun,E,IFfunE
Schsc,36,15,IF,2,1.6,fun,E,IFfunE
Schsc,36,15,IF,3,3.4,fun,E,IFfunE
Schsc,36,15,IF,4,0.8,fun,E,IFfunE
Schsc,36,15,IF,5,0.4,fun,E,IFfunE
Schsc,36,15,IF,6,1,fun,E,IFfunE
Bougr,37,11,IF,1,0,fun,E,IFfunE
Bougr,37,11,IF,2,0.4,fun,E,IFfunE
Bougr,37,11,IF,3,0.2,fun,E,IFfunE
Bougr,37,11,IF,4,0.2,fun,E,IFfunE
Bougr,37,11,IF,5,0.2,fun,E,IFfunE
Bougr,37,11,IF,6,0.4,fun,E,IFfunE
Sornu,38,10,IF,1,0.666666667,fun,E,IFfunE
Sornu,38,10,IF,2,0,fun,E,IFfunE
Sornu,38,10,IF,3,0.75,fun,E,IFfunE
Sornu,40,10,C,1,7.2,fun,E,CfunE
Sornu,40,10,C,2,3.8,fun,E,CfunE
Sornu,40,10,C,3,4.2,fun,E,CfunE
Sornu,40,10,C,4,3.8,fun,E,CfunE
Monfi,41,11,C,3,0.4,fun,E,CfunE
Ascsy,42,12,IF,1,0,fun,E,IFfunE
Ascsy,42,12,IF,2,0,fun,E,IFfunE
Ascsy,42,12,IF,4,0.2,fun,E,IFfunE
Schsc,43,13,IF,1,0.2,fun,E,IFfunE
Schsc,43,13,IF,2,1.4,fun,E,IFfunE
Schsc,43,13,IF,3,1.2,fun,E,IFfunE
Schsc,43,13,IF,4,1.6,fun,E,IFfunE
Schsc,43,13,IF,5,0,fun,E,IFfunE
Schsc,43,13,IF,6,0.2,fun,E,IFfunE
Boucu,44,14,IF,1,0.5,fun,E,IFfunE
Boucu,44,14,IF,2,1.6,fun,E,IFfunE
Boucu,44,14,IF,3,0.4,fun,E,IFfunE
Boucu,44,14,IF,4,0.8,fun,E,IFfunE
Boucu,44,14,IF,5,0.2,fun,E,IFfunE
Andge,45,10,C,1,3,fun,E,CfunE
Andge,45,10,C,2,2.4,fun,E,CfunE
Andge,45,10,C,3,2,fun,E,CfunE
Andge,45,10,C,4,6.8,fun,E,CfunE
Andge,45,10,C,5,2.8,fun,E,CfunE
Andge,45,10,C,6,0.5,fun,E,CfunE
Liaas,47,7,C,1,7.666666667,fun,E,CfunE
Astaz,48,12,I,1,0,fun,E,IfunE
Astaz,48,12,I,2,0,fun,E,IfunE
Astaz,48,12,I,4,0,fun,E,IfunE
Astaz,48,12,I,5,0,fun,E,IfunE
Astaz,48,12,I,6,0,fun,E,IfunE
Muhra,49,14,IF,1,1,fun,E,IFfunE
Muhra,49,14,IF,2,1.8,fun,E,IFfunE
Muhra,49,14,IF,3,1.6,fun,E,IFfunE
Muhra,49,14,IF,4,0.6,fun,E,IFfunE
Muhra,49,14,IF,5,0,fun,E,IFfunE
Muhra,49,14,IF,6,2.2,fun,E,IFfunE
Schsc,50,12,I,1,2,fun,E,IfunE
Schsc,50,12,I,2,1.2,fun,E,IfunE
Schsc,50,12,I,4,1.6,fun,E,IfunE
Schsc,50,12,I,6,3,fun,E,IfunE
Schsc,51,13,IF,1,0.8,fun,E,IFfunE
Schsc,51,13,IF,2,2.2,fun,E,IFfunE
Schsc,51,13,IF,3,0.4,fun,E,IFfunE
Schsc,51,13,IF,4,0,fun,E,IFfunE
Schsc,51,13,IF,5,0.6,fun,E,IFfunE
Schsc,51,13,IF,6,1.2,fun,E,IFfunE
Spohe,52,11,I,1,1,fun,E,IfunE
Monfi,53,14,I,2,0,fun,E,IfunE
Rudhi,54,11,I,1,0,fun,E,IfunE
Rudhi,54,11,I,2,0.8,fun,E,IfunE
Rudhi,54,11,I,3,3.4,fun,E,IfunE
Rudhi,54,11,I,4,0,fun,E,IfunE
Rudhi,54,11,I,5,0,fun,E,IfunE
Rudhi,54,11,I,6,0,fun,E,IfunE
Andge,55,12,C,1,5.2,fun,E,CfunE
Andge,55,12,C,2,1.6,fun,E,CfunE
Andge,55,12,C,3,14.6,fun,E,CfunE
Andge,55,12,C,4,12.4,fun,E,CfunE
Andge,55,12,C,5,7.75,fun,E,CfunE
Andge,55,12,C,6,7.2,fun,E,CfunE
Boucu,56,13,C,1,2.4,fun,E,CfunE
Boucu,56,13,C,2,1,fun,E,CfunE
Boucu,56,13,C,3,3.8,fun,E,CfunE
Boucu,56,13,C,4,4.4,fun,E,CfunE
Boucu,56,13,C,5,4,fun,E,CfunE
Monfi,57,12,I,1,2.4,fun,E,IfunE
Achmi,58,13,C,5,2.4,fun,E,CfunE
Achmi,58,13,C,6,0,fun,E,CfunE
Sornu,59,12,C,1,14,fun,E,CfunE
Sornu,59,12,C,2,1.8,fun,E,CfunE
Sornu,59,12,C,3,4,fun,E,CfunE
Sornu,59,12,C,4,10,fun,E,CfunE
Liaas,61,11,IF,1,0,fun,E,IFfunE
Muhra,62,12,C,1,2.6,fun,E,CfunE
Muhra,62,12,C,3,3.4,fun,E,CfunE
Muhra,62,12,C,4,6.4,fun,E,CfunE
Muhra,63,8,IF,1,0.2,fun,E,IFfunE
Muhra,63,8,IF,2,3.6,fun,E,IFfunE
Muhra,63,8,IF,3,0.8,fun,E,IFfunE
Muhra,63,8,IF,4,0.6,fun,E,IFfunE
Muhra,63,8,IF,5,3.6,fun,E,IFfunE
Muhra,63,8,IF,6,1,fun,E,IFfunE
Asctu,64,11,IF,1,0.6,fun,E,IFfunE
Asctu,64,11,IF,2,0,fun,E,IFfunE
Asctu,64,11,IF,3,0,fun,E,IFfunE
Asctu,64,11,IF,4,0,fun,E,IFfunE
Asctu,64,11,IF,5,0,fun,E,IFfunE
Asctu,64,11,IF,6,0,fun,E,IFfunE
Asctu,65,9,I,1,0.2,fun,E,IfunE
Asctu,65,9,I,2,1.6,fun,E,IfunE
Asctu,65,9,I,3,1.6,fun,E,IfunE
Asctu,65,9,I,5,0,fun,E,IfunE
Asctu,65,9,I,6,0,fun,E,IfunE
Panvi,66,10,C,1,14.6,fun,E,CfunE
Panvi,66,10,C,2,7.6,fun,E,CfunE
Panvi,66,10,C,3,3,fun,E,CfunE
Panvi,66,10,C,4,9,fun,E,CfunE
Panvi,66,10,C,5,3,fun,E,CfunE
Panvi,66,10,C,6,5.4,fun,E,CfunE
Astaz,67,10,I,1,4,fun,E,IfunE
Astaz,67,10,I,2,0,fun,E,IfunE
Astaz,67,10,I,4,0.8,fun,E,IfunE
Astaz,67,10,I,5,0.8,fun,E,IfunE
Astaz,67,10,I,6,0.8,fun,E,IfunE
Astaz,68,10,C,1,0.8,fun,E,CfunE
Astaz,68,10,C,2,0.4,fun,E,CfunE
Astaz,68,10,C,3,0,fun,E,CfunE
Astaz,68,10,C,4,0.2,fun,E,CfunE
Astaz,68,10,C,5,0.4,fun,E,CfunE
Astaz,68,10,C,6,4.8,fun,E,CfunE
Astaz,69,12,IF,1,0,fun,E,IFfunE
Astaz,69,12,IF,2,0,fun,E,IFfunE
Astaz,69,12,IF,3,0.6,fun,E,IFfunE
Astaz,69,12,IF,4,0,fun,E,IFfunE
Astaz,69,12,IF,6,2.4,fun,E,IFfunE
Achmi,70,12,C,1,0,fun,E,CfunE
Achmi,70,12,C,3,0,fun,E,CfunE
Achmi,70,12,C,5,0,fun,E,CfunE
Sornu,72,12,IF,1,3.4,fun,E,IFfunE
Sornu,72,12,IF,2,1.4,fun,E,IFfunE
Sornu,72,12,IF,3,0.4,fun,E,IFfunE
Sornu,72,12,IF,4,1.2,fun,E,IFfunE
Agafo,73,10,IF,1,0.2,fun,E,IFfunE
Agafo,73,10,IF,3,0.2,fun,E,IFfunE
Agafo,73,10,IF,4,0,fun,E,IFfunE
Agafo,73,10,IF,5,1,fun,E,IFfunE
Agafo,74,10,I,1,0.4,fun,E,IfunE
Agafo,74,10,I,3,0.2,fun,E,IfunE
Agafo,74,10,I,4,0,fun,E,IfunE
Agafo,74,10,I,6,0,fun,E,IfunE
Bougr,75,11,I,1,0.8,fun,E,IfunE
Bougr,75,11,I,2,1.4,fun,E,IfunE
Bougr,75,11,I,3,1,fun,E,IfunE
Bougr,75,11,I,4,0.6,fun,E,IfunE
Bougr,75,11,I,5,2.6,fun,E,IfunE
Bougr,75,11,I,6,0,fun,E,IfunE
Bougr,76,12,IF,1,0.2,fun,E,IFfunE
Bougr,76,12,IF,2,0.4,fun,E,IFfunE
Bougr,76,12,IF,3,0,fun,E,IFfunE
Bougr,76,12,IF,4,0,fun,E,IFfunE
Bougr,76,12,IF,5,0,fun,E,IFfunE
Bougr,76,12,IF,6,0.4,fun,E,IFfunE
Rudhi,77,11,IF,2,0.2,fun,E,IFfunE
Rudhi,77,11,IF,3,0,fun,E,IFfunE
Rudhi,77,11,IF,4,0,fun,E,IFfunE
Rudhi,77,11,IF,5,0.2,fun,E,IFfunE
Rudhi,77,11,IF,6,0,fun,E,IFfunE
Achmi,78,10,IF,2,0,fun,E,IFfunE
Achmi,78,10,IF,3,1.666666667,fun,E,IFfunE
Achmi,78,10,IF,4,0,fun,E,IFfunE
Sornu,79,10,I,1,1.666666667,fun,E,IfunE
Sornu,79,10,I,2,11.66666667,fun,E,IfunE
Sornu,79,10,I,3,7,fun,E,IfunE
Sornu,79,10,I,4,4.333333333,fun,E,IfunE
